Date Start,Date End,Service,Usage Type,Blended Cost,Unblended Cost,Usage Quantity,Unit
2023-09-10,2023-09-11,Amazon Elastic Container Service,USE1-Fargate-GB-Hours,1.28,1.00,288.00,Hrs
2023-09-10,2023-09-11,Amazon Elastic Container Service,USE1-Fargate-vCPU-Hours:perCPU,2.91,2.27,72.00,Hrs
2023-09-10,2023-09-11,Amazon Simple Storage Service,Requests-Tier1,0.00,0.00,44.00,Requests
2023-09-10,2023-09-11,Amazon Simple Storage Service,Requests-Tier2,0.00,0.00,160.00,Requests
2023-09-10,2023-09-11,Amazon Simple Storage Service,TimedStorage-ByteHrs,0.00,0.00,0.00,GB-Month
2023-09-10,2023-09-11,Amazon Simple Storage Service,USE1-APS1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-10,2023-09-11,Amazon Simple Storage Service,USE1-APS2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-10,2023-09-11,Amazon Simple Storage Service,USE1-CAN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-10,2023-09-11,Amazon Simple Storage Service,USE1-EU-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-10,2023-09-11,Amazon Simple Storage Service,USE1-EUC1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-10,2023-09-11,Amazon Simple Storage Service,USE1-EUN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-10,2023-09-11,Amazon Simple Storage Service,USE1-EUW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-10,2023-09-11,Amazon Simple Storage Service,USE1-USE2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-10,2023-09-11,Amazon Simple Storage Service,USE1-USW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-10,2023-09-11,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,0.00,0.00,168.00,Hrs
2023-09-11,2023-09-12,Amazon Elastic Container Service,DataTransfer-Regional-Bytes,0.00,0.00,0.00,GB
2023-09-11,2023-09-12,Amazon Elastic Container Service,USE1-Fargate-GB-Hours,1.29,1.00,289.43,Hrs
2023-09-11,2023-09-12,Amazon Elastic Container Service,USE1-Fargate-vCPU-Hours:perCPU,2.93,2.28,72.36,Hrs
2023-09-11,2023-09-12,Amazon Simple Storage Service,Requests-Tier1,0.00,0.00,34.00,Requests
2023-09-11,2023-09-12,Amazon Simple Storage Service,Requests-Tier2,0.00,0.00,123.00,Requests
2023-09-11,2023-09-12,Amazon Simple Storage Service,TimedStorage-ByteHrs,0.00,0.00,0.00,GB-Month
2023-09-11,2023-09-12,Amazon Simple Storage Service,USE1-APS1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-11,2023-09-12,Amazon Simple Storage Service,USE1-APS2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-11,2023-09-12,Amazon Simple Storage Service,USE1-CAN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-11,2023-09-12,Amazon Simple Storage Service,USE1-EU-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-11,2023-09-12,Amazon Simple Storage Service,USE1-EUC1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-11,2023-09-12,Amazon Simple Storage Service,USE1-EUN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-11,2023-09-12,Amazon Simple Storage Service,USE1-EUW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-11,2023-09-12,Amazon Simple Storage Service,USE1-USE2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-11,2023-09-12,Amazon Simple Storage Service,USE1-USW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-11,2023-09-12,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,0.00,0.00,168.42,Hrs
2023-09-12,2023-09-13,Amazon Elastic Container Service,DataTransfer-Regional-Bytes,0.00,0.00,0.02,GB
2023-09-12,2023-09-13,Amazon Elastic Container Service,USE1-Fargate-GB-Hours,1.27,0.99,285.37,Hrs
2023-09-12,2023-09-13,Amazon Elastic Container Service,USE1-Fargate-vCPU-Hours:perCPU,2.89,2.25,71.34,Hrs
2023-09-12,2023-09-13,Amazon Simple Storage Service,Requests-Tier1,0.00,0.00,154.00,Requests
2023-09-12,2023-09-13,Amazon Simple Storage Service,Requests-Tier2,0.00,0.00,516.00,Requests
2023-09-12,2023-09-13,Amazon Simple Storage Service,TimedStorage-ByteHrs,0.00,0.00,0.00,GB-Month
2023-09-12,2023-09-13,Amazon Simple Storage Service,USE1-APS1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-12,2023-09-13,Amazon Simple Storage Service,USE1-APS2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-12,2023-09-13,Amazon Simple Storage Service,USE1-CAN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-12,2023-09-13,Amazon Simple Storage Service,USE1-EU-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-12,2023-09-13,Amazon Simple Storage Service,USE1-EUC1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-12,2023-09-13,Amazon Simple Storage Service,USE1-EUN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-12,2023-09-13,Amazon Simple Storage Service,USE1-EUW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-12,2023-09-13,Amazon Simple Storage Service,USE1-USE2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-12,2023-09-13,Amazon Simple Storage Service,USE1-USW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-12,2023-09-13,Amazon Virtual Private Cloud,USE1-PublicIPv4:IdleAddress,0.00,0.00,0.24,Hrs
2023-09-12,2023-09-13,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,0.00,0.00,165.10,Hrs
2023-09-13,2023-09-14,Amazon Elastic Container Service,DataTransfer-Regional-Bytes,0.00,0.00,0.01,GB
2023-09-13,2023-09-14,Amazon Elastic Container Service,USE1-Fargate-GB-Hours,1.25,0.97,281.00,Hrs
2023-09-13,2023-09-14,Amazon Elastic Container Service,USE1-Fargate-vCPU-Hours:perCPU,2.84,2.22,70.25,Hrs
2023-09-13,2023-09-14,Amazon Simple Storage Service,Requests-Tier1,0.00,0.00,195.00,Requests
2023-09-13,2023-09-14,Amazon Simple Storage Service,Requests-Tier2,0.00,0.00,736.00,Requests
2023-09-13,2023-09-14,Amazon Simple Storage Service,TimedStorage-ByteHrs,0.00,0.00,0.00,GB-Month
2023-09-13,2023-09-14,Amazon Simple Storage Service,USE1-APS1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-13,2023-09-14,Amazon Simple Storage Service,USE1-APS2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-13,2023-09-14,Amazon Simple Storage Service,USE1-CAN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-13,2023-09-14,Amazon Simple Storage Service,USE1-EU-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-13,2023-09-14,Amazon Simple Storage Service,USE1-EUC1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-13,2023-09-14,Amazon Simple Storage Service,USE1-EUN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-13,2023-09-14,Amazon Simple Storage Service,USE1-EUW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-13,2023-09-14,Amazon Simple Storage Service,USE1-USE2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-13,2023-09-14,Amazon Simple Storage Service,USE1-USW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-13,2023-09-14,Amazon Virtual Private Cloud,USE1-PublicIPv4:IdleAddress,0.00,0.00,0.31,Hrs
2023-09-13,2023-09-14,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,0.00,0.00,163.66,Hrs
2023-09-14,2023-09-15,Amazon Elastic Container Service,DataTransfer-Regional-Bytes,0.00,0.00,0.00,GB
2023-09-14,2023-09-15,Amazon Elastic Container Service,USE1-Fargate-GB-Hours,1.29,1.00,289.37,Hrs
2023-09-14,2023-09-15,Amazon Elastic Container Service,USE1-Fargate-vCPU-Hours:perCPU,2.93,2.28,72.34,Hrs
2023-09-14,2023-09-15,Amazon Relational Database Service,Aurora:StorageIOUsage,0.02,0.02,121008.00,IOs
2023-09-14,2023-09-15,Amazon Relational Database Service,Aurora:StorageUsage,0.00,0.00,0.00,GB-Month
2023-09-14,2023-09-15,Amazon Relational Database Service,InstanceUsage:db.r5.2xl,1.46,1.14,1.26,Hrs
2023-09-14,2023-09-15,Amazon Relational Database Service,InstanceUsage:db.r5.large,1.32,1.03,4.55,Hrs
2023-09-14,2023-09-15,Amazon Relational Database Service,InstanceUsage:db.r5.xl,0.64,0.50,1.10,Hrs
2023-09-14,2023-09-15,Amazon Simple Storage Service,Requests-Tier1,0.00,0.00,75.00,Requests
2023-09-14,2023-09-15,Amazon Simple Storage Service,Requests-Tier2,0.00,0.00,478.00,Requests
2023-09-14,2023-09-15,Amazon Simple Storage Service,TimedStorage-ByteHrs,0.00,0.00,0.01,GB-Month
2023-09-14,2023-09-15,Amazon Simple Storage Service,USE1-APS1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-14,2023-09-15,Amazon Simple Storage Service,USE1-APS2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-14,2023-09-15,Amazon Simple Storage Service,USE1-CAN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-14,2023-09-15,Amazon Simple Storage Service,USE1-EU-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-14,2023-09-15,Amazon Simple Storage Service,USE1-EUC1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-14,2023-09-15,Amazon Simple Storage Service,USE1-EUN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-14,2023-09-15,Amazon Simple Storage Service,USE1-EUW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-14,2023-09-15,Amazon Simple Storage Service,USE1-USE2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-14,2023-09-15,Amazon Simple Storage Service,USE1-USW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-14,2023-09-15,Amazon Virtual Private Cloud,USE1-PublicIPv4:IdleAddress,0.00,0.00,2.10,Hrs
2023-09-14,2023-09-15,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,0.00,0.00,174.78,Hrs
2023-09-15,2023-09-16,Amazon Elastic Container Service,DataTransfer-Regional-Bytes,0.00,0.00,0.00,GB
2023-09-15,2023-09-16,Amazon Elastic Container Service,USE1-Fargate-GB-Hours,1.20,0.94,270.93,Hrs
2023-09-15,2023-09-16,Amazon Elastic Container Service,USE1-Fargate-vCPU-Hours:perCPU,2.74,2.14,67.73,Hrs
2023-09-15,2023-09-16,Amazon Relational Database Service,Aurora:IO-OptimizedStorageUsage,0.00,0.00,0.00,GB-Month
2023-09-15,2023-09-16,Amazon Relational Database Service,Aurora:StorageIOUsage,0.02,0.02,121475.00,IOs
2023-09-15,2023-09-16,Amazon Relational Database Service,Aurora:StorageUsage,0.00,0.00,0.00,GB-Month
2023-09-15,2023-09-16,Amazon Relational Database Service,InstanceUsage:db.r5.large,5.79,4.52,19.97,Hrs
2023-09-15,2023-09-16,Amazon Relational Database Service,InstanceUsageIOOptimized:db.r5.2xl,7.36,5.74,4.88,Hrs
2023-09-15,2023-09-16,Amazon Relational Database Service,InstanceUsageIOOptimized:db.r5.large,0.98,0.76,2.60,Hrs
2023-09-15,2023-09-16,Amazon Simple Storage Service,Requests-Tier1,0.00,0.00,92.00,Requests
2023-09-15,2023-09-16,Amazon Simple Storage Service,Requests-Tier2,0.00,0.00,560.00,Requests
2023-09-15,2023-09-16,Amazon Simple Storage Service,TimedStorage-ByteHrs,0.00,0.00,0.02,GB-Month
2023-09-15,2023-09-16,Amazon Simple Storage Service,USE1-APS1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-15,2023-09-16,Amazon Simple Storage Service,USE1-APS2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-15,2023-09-16,Amazon Simple Storage Service,USE1-CAN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-15,2023-09-16,Amazon Simple Storage Service,USE1-EU-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-15,2023-09-16,Amazon Simple Storage Service,USE1-EUC1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-15,2023-09-16,Amazon Simple Storage Service,USE1-EUN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-15,2023-09-16,Amazon Simple Storage Service,USE1-EUW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-15,2023-09-16,Amazon Simple Storage Service,USE1-USE2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-15,2023-09-16,Amazon Simple Storage Service,USE1-USW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-15,2023-09-16,Amazon Virtual Private Cloud,USE1-PublicIPv4:IdleAddress,0.00,0.00,24.11,Hrs
2023-09-15,2023-09-16,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,0.00,0.00,179.60,Hrs
2023-09-16,2023-09-17,Amazon Elastic Container Service,USE1-Fargate-GB-Hours,1.28,1.00,288.00,Hrs
2023-09-16,2023-09-17,Amazon Elastic Container Service,USE1-Fargate-vCPU-Hours:perCPU,2.91,2.27,72.00,Hrs
2023-09-16,2023-09-17,Amazon Relational Database Service,Aurora:BackupUsage,0.00,0.00,0.00,GB-Month
2023-09-16,2023-09-17,Amazon Relational Database Service,Aurora:IO-OptimizedStorageUsage,0.00,0.00,0.00,GB-Month
2023-09-16,2023-09-17,Amazon Relational Database Service,Aurora:StorageUsage,0.00,0.00,0.00,GB-Month
2023-09-16,2023-09-17,Amazon Relational Database Service,InstanceUsageIOOptimized:db.r5.2xl,72.38,56.46,48.00,Hrs
2023-09-16,2023-09-17,Amazon Relational Database Service,InstanceUsageIOOptimized:db.r5.large,9.05,7.06,24.00,Hrs
2023-09-16,2023-09-17,Amazon Simple Storage Service,Requests-Tier1,0.00,0.00,33.00,Requests
2023-09-16,2023-09-17,Amazon Simple Storage Service,Requests-Tier2,0.00,0.00,346.00,Requests
2023-09-16,2023-09-17,Amazon Simple Storage Service,TimedStorage-ByteHrs,0.00,0.00,0.02,GB-Month
2023-09-16,2023-09-17,Amazon Simple Storage Service,USE1-APS1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-16,2023-09-17,Amazon Simple Storage Service,USE1-APS2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-16,2023-09-17,Amazon Simple Storage Service,USE1-CAN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-16,2023-09-17,Amazon Simple Storage Service,USE1-EU-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-16,2023-09-17,Amazon Simple Storage Service,USE1-EUC1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-16,2023-09-17,Amazon Simple Storage Service,USE1-EUN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-16,2023-09-17,Amazon Simple Storage Service,USE1-EUW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-16,2023-09-17,Amazon Simple Storage Service,USE1-USE2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-16,2023-09-17,Amazon Simple Storage Service,USE1-USW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-16,2023-09-17,Amazon Virtual Private Cloud,USE1-PublicIPv4:IdleAddress,0.00,0.00,24.00,Hrs
2023-09-16,2023-09-17,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,0.00,0.00,192.00,Hrs
2023-09-17,2023-09-18,Amazon Elastic Container Service,USE1-Fargate-GB-Hours,1.28,1.00,288.00,Hrs
2023-09-17,2023-09-18,Amazon Elastic Container Service,USE1-Fargate-vCPU-Hours:perCPU,2.91,2.27,72.00,Hrs
2023-09-17,2023-09-18,Amazon Relational Database Service,Aurora:BackupUsage,0.00,0.00,0.00,GB-Month
2023-09-17,2023-09-18,Amazon Relational Database Service,Aurora:IO-OptimizedStorageUsage,0.00,0.00,0.00,GB-Month
2023-09-17,2023-09-18,Amazon Relational Database Service,Aurora:StorageIOUsage,0.01,0.01,49439.00,IOs
2023-09-17,2023-09-18,Amazon Relational Database Service,InstanceUsage:db.r5.2xl,1.71,1.33,1.47,Hrs
2023-09-17,2023-09-18,Amazon Relational Database Service,InstanceUsage:db.r5.large,0.35,0.27,1.20,Hrs
2023-09-17,2023-09-18,Amazon Relational Database Service,InstanceUsageIOOptimized:db.r5.2xl,69.37,54.11,46.00,Hrs
2023-09-17,2023-09-18,Amazon Relational Database Service,InstanceUsageIOOptimized:db.r5.large,8.67,6.76,23.00,Hrs
2023-09-17,2023-09-18,Amazon Simple Storage Service,Requests-Tier1,0.00,0.00,39.00,Requests
2023-09-17,2023-09-18,Amazon Simple Storage Service,Requests-Tier2,0.00,0.00,361.00,Requests
2023-09-17,2023-09-18,Amazon Simple Storage Service,TimedStorage-ByteHrs,0.00,0.00,0.02,GB-Month
2023-09-17,2023-09-18,Amazon Simple Storage Service,USE1-APS1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-17,2023-09-18,Amazon Simple Storage Service,USE1-APS2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-17,2023-09-18,Amazon Simple Storage Service,USE1-CAN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-17,2023-09-18,Amazon Simple Storage Service,USE1-EU-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-17,2023-09-18,Amazon Simple Storage Service,USE1-EUC1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-17,2023-09-18,Amazon Simple Storage Service,USE1-EUN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-17,2023-09-18,Amazon Simple Storage Service,USE1-EUW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-17,2023-09-18,Amazon Simple Storage Service,USE1-USE2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-17,2023-09-18,Amazon Simple Storage Service,USE1-USW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-17,2023-09-18,Amazon Virtual Private Cloud,USE1-PublicIPv4:IdleAddress,0.00,0.00,24.00,Hrs
2023-09-17,2023-09-18,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,0.00,0.00,191.77,Hrs
2023-09-18,2023-09-19,Amazon Elastic Container Service,DataTransfer-Regional-Bytes,0.00,0.00,0.00,GB
2023-09-18,2023-09-19,Amazon Elastic Container Service,USE1-Fargate-GB-Hours,0.79,0.61,177.06,Hrs
2023-09-18,2023-09-19,Amazon Elastic Container Service,USE1-Fargate-vCPU-Hours:perCPU,1.79,1.40,44.27,Hrs
2023-09-18,2023-09-19,Amazon Relational Database Service,Aurora:BackupUsage,0.00,0.00,0.00,GB-Month
2023-09-18,2023-09-19,Amazon Relational Database Service,Aurora:StorageIOUsage,0.06,0.05,296674.00,IOs
2023-09-18,2023-09-19,Amazon Relational Database Service,Aurora:StorageUsage,0.00,0.00,0.00,GB-Month
2023-09-18,2023-09-19,Amazon Relational Database Service,InstanceUsage:db.r5.large,4.05,3.16,13.96,Hrs
2023-09-18,2023-09-19,Amazon Simple Storage Service,Requests-Tier1,0.00,0.00,79.00,Requests
2023-09-18,2023-09-19,Amazon Simple Storage Service,Requests-Tier2,0.00,0.00,605.00,Requests
2023-09-18,2023-09-19,Amazon Simple Storage Service,TimedStorage-ByteHrs,0.00,0.00,0.02,GB-Month
2023-09-18,2023-09-19,Amazon Simple Storage Service,USE1-APS1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-18,2023-09-19,Amazon Simple Storage Service,USE1-APS2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-18,2023-09-19,Amazon Simple Storage Service,USE1-CAN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-18,2023-09-19,Amazon Simple Storage Service,USE1-EU-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-18,2023-09-19,Amazon Simple Storage Service,USE1-EUC1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-18,2023-09-19,Amazon Simple Storage Service,USE1-EUN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-18,2023-09-19,Amazon Simple Storage Service,USE1-EUW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-18,2023-09-19,Amazon Simple Storage Service,USE1-USE2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-18,2023-09-19,Amazon Simple Storage Service,USE1-USW2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-18,2023-09-19,Amazon Virtual Private Cloud,USE1-PublicIPv4:IdleAddress,0.00,0.00,24.19,Hrs
2023-09-18,2023-09-19,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,0.00,0.00,103.42,Hrs
2023-09-19,2023-09-20,Amazon Elastic Container Service,DataTransfer-Regional-Bytes,0.00,0.00,0.00,GB
2023-09-19,2023-09-20,Amazon Elastic Container Service,USE1-Fargate-GB-Hours,1.11,0.87,249.66,Hrs
2023-09-19,2023-09-20,Amazon Elastic Container Service,USE1-Fargate-vCPU-Hours:perCPU,2.53,1.97,62.41,Hrs
2023-09-19,2023-09-20,Amazon Relational Database Service,Aurora:BackupUsage,0.00,0.00,0.00,GB-Month
2023-09-19,2023-09-20,Amazon Relational Database Service,Aurora:ServerlessV2Usage,0.58,0.46,4.87,ACU-Hr
2023-09-19,2023-09-20,Amazon Relational Database Service,Aurora:StorageIOUsage,0.10,0.08,515429.00,IOs
2023-09-19,2023-09-20,Amazon Relational Database Service,Aurora:StorageUsage,0.00,0.00,0.00,GB-Month
2023-09-19,2023-09-20,Amazon Relational Database Service,DataTransfer-In-Bytes,0.00,0.00,0.00,GB
2023-09-19,2023-09-20,Amazon Relational Database Service,DataTransfer-Out-Bytes,0.00,0.00,0.00,GB
2023-09-19,2023-09-20,Amazon Relational Database Service,InstanceUsage:db.r5.large,4.72,3.68,16.29,Hrs
2023-09-19,2023-09-20,Amazon Simple Storage Service,Requests-Tier1,0.00,0.00,70.00,Requests
2023-09-19,2023-09-20,Amazon Simple Storage Service,Requests-Tier2,0.00,0.00,478.00,Requests
2023-09-19,2023-09-20,Amazon Simple Storage Service,TimedStorage-ByteHrs,0.00,0.00,0.02,GB-Month
2023-09-19,2023-09-20,Amazon Simple Storage Service,USE1-APS1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-19,2023-09-20,Amazon Simple Storage Service,USE1-APS2-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-19,2023-09-20,Amazon Simple Storage Service,USE1-CAN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-19,2023-09-20,Amazon Simple Storage Service,USE1-EU-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-19,2023-09-20,Amazon Simple Storage Service,USE1-EUC1-AWS-Out-Bytes,0.00,0.00,0.00,GB
2023-09-19,2023-09-20,Amazon Simple Storage Service,USE1-EUN1-AWS-Out-Bytes,0.00,0.00,0.00,GB
